Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8089887640449438,0.7833333333333333,0.6911764705882353,0.734375,0.8609625668449199
Decision Tree,0.7640449438202247,0.76,0.5588235294117647,0.6440677966101694,0.8373663101604277
Random Forest,0.8202247191011236,0.78125,0.7352941176470589,0.7575757575757576,0.8179144385026736
